22-02-27 10:54:03 [INVITE] Calling : <sip:toto@192.168.0.103> ------> <sip:linp@192.168.0.103>
22-02-27 10:56:12 [INVITE] Calling : <sip:linp@192.168.0.103> ------> <sip:xxx@192.168.0.103>
22-02-27 11:48:20 [INVITE] Calling : <sip:toto@192.168.0.103> ------> <sip:samphone@192.168.0.103>
22-02-27 11:49:33 [INVITE] Calling : <sip:samphone@192.168.0.103> ------> <sip:toto@192.168.0.103>
22-02-27 11:55:41 [INVITE] Calling : <sip:toto@192.168.0.103> ------> <sip:samphone@192.168.0.103>
22-02-27 11:59:58 [INVITE] Calling : <sip:toto@192.168.0.103> ------> <sip:linp@192.168.0.103>
22-02-27 12:04:56 [INVITE] Calling : <sip:toto@192.168.0.103> ------> <sip:linp@192.168.0.103>
22-02-27 12:04:57 [INVITE] Calling : <sip:toto@192.168.0.103> ------> <sip:linp@192.168.0.103>
22-02-27 12:04:58 [INVITE] Calling : <sip:toto@192.168.0.103> ------> <sip:linp@192.168.0.103>
22-02-27 12:05:07 [INVITE] Calling : <sip:toto@192.168.0.103> ------> <sip:linp@192.168.0.103>
22-02-27 12:05:42 [INVITE] Calling : <sip:toto@192.168.0.103> ------> <sip:linp@192.168.0.103>
22-02-28 19:21:42 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:ivan@192.168.43.36>
22-02-28 19:23:58 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:xxx@192.168.43.36>
22-02-28 19:23:59 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:xxx@192.168.43.36>
22-02-28 19:24:00 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:xxx@192.168.43.36>
22-02-28 19:24:02 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:xxx@192.168.43.36>
22-02-28 19:24:06 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:xxx@192.168.43.36>
22-02-28 19:24:14 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:xxx@192.168.43.36>
22-02-28 19:24:44 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:ivan@192.168.43.36>
22-02-28 19:25:08 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:ivan@192.168.43.36>
22-02-28 19:25:28 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:ivan@192.168.43.36>
22-02-28 19:25:48 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:ivan@192.168.43.36>
22-02-28 19:26:13 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:linp@192.168.43.36>
22-02-28 19:26:14 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:linp@192.168.43.36>
22-02-28 19:26:15 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:linp@192.168.43.36>
22-02-28 19:26:17 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:linp@192.168.43.36>
22-02-28 19:26:21 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:linp@192.168.43.36>
22-02-28 19:26:29 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:linp@192.168.43.36>
22-02-28 19:28:24 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:ivan@192.168.43.36>
22-02-28 19:28:54 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:ivan@192.168.43.36>
22-02-28 19:31:33 [INVITE] Calling : <sip:linphone@192.168.43.36> ------> <sip:linp@192.168.43.36>
22-02-28 19:31:33 [INVITE] Calling : <sip:linphone@192.168.43.36> ------> <sip:linp@192.168.43.36>
22-02-28 19:31:33 [INVITE] Calling : <sip:linphone@192.168.43.36> ------> <sip:linp@192.168.43.36>
22-02-28 19:31:37 [INVITE] Calling : <sip:linphone@192.168.43.36> ------> <sip:linp@192.168.43.36>
22-02-28 19:31:42 [INVITE] Calling : <sip:linphone@192.168.43.36> ------> <sip:ivan@192.168.43.36>
22-02-28 19:32:23 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:linp@192.168.43.36>
22-02-28 19:32:50 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:ivan@192.168.43.36>
22-02-28 19:32:59 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:ivan@192.168.43.36>
22-02-28 19:33:15 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:ivan@192.168.43.36>
22-02-28 19:33:33 [INVITE] Calling : <sip:ivan@192.168.43.36> ------> <sip:linp@192.168.43.36>
22-02-28 19:38:17 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:ivan@192.168.43.36>
22-02-28 19:39:11 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:ivan@192.168.43.36>
22-02-28 19:39:20 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:ivan@192.168.43.36>
22-02-28 19:40:34 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:ivan@192.168.43.36>
22-02-28 19:40:47 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:linphone@192.168.43.36>
22-02-28 19:40:47 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:linphone@192.168.43.36>
22-02-28 19:40:48 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:linphone@192.168.43.36>
22-02-28 19:40:50 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:linphone@192.168.43.36>
22-02-28 19:40:54 [INVITE] Calling : <sip:linp@192.168.43.36> ------> <sip:linphone@192.168.43.36>
